"App","AppID","Product","ProductKey","Country","CountryCode","LocalPrice","Currency","FormattedPrice","CNY","USD","ExchangeRate","RateAsOf","FetchedAt","Status","MatchStatus","SourceURL","QueryComplete","RecordType","MatchEvidence","Type","Period","Issues","Coverage","QueryStartedAt","CompletedRegions","TotalRegions"
"悬浮时钟-抢购秒杀助手","1546947240","软件本体","app","阿拉伯联合酋长国","ae","0","AED","Free","0","0","","2026-09-15","2026-09-16T02:24:33.178590Z","AVAILABLE","EXACT","https://apps.apple.com/ae/app/floating-clock/id1546947240","true","PRICE","App ID","APP","","","","2026-09-16T02:24:04.136007Z","175","175"
"悬浮时钟-抢购秒杀助手","1546947240","软件本体","app","阿富汗","af","0","USD","Free","0","0","","2026-09-15","2026-09-16T02:24:21.716106Z","AVAILABLE","EXACT","https://apps.apple.com/af/app/floating-clock/id1546947240","true","PRICE","App ID","APP","","","","2026-09-16T02:24:04.136007Z","175","175"
"悬浮时钟-抢购秒杀助手","1546947240","软件本体","app","安提瓜和巴布达","ag","0","USD","Free","0","0","","2026-09-15","2026-09-16T02:24:28.273026Z","AVAILABLE","EXACT","https://apps.apple.com/ag/app/floating-clock/id1546947240","true","PRICE","App ID","APP","","","","2026-09-16T02:24:04.136007Z","175","175"
"悬浮时钟-抢购秒杀助手","1546947240","软件本体","app","安圭拉","ai","0","USD","Free","0","0","","2026-09-15","2026-09-16T02:24:25.871160Z","AVAILABLE","EXACT","https://apps.apple.com/ai/app/floating-clock/id1546947240","true","PRICE","App ID","APP","","","","2026-09-16T02:24:04.136007Z","175","175"
"悬浮时钟-抢购秒杀助手","1546947240","软件本体","app","阿尔巴尼亚","al","0","USD","Free","0","0","","2026-09-15","2026-09-16T02:24:23.649485Z","AVAILABLE","EXACT","https://apps.apple.com/al/app/floating-clock/id1546947240","true","PRICE","App ID","APP","","","","2026-09-16T02:24:04.136007Z","175","175"
"悬浮时钟-抢购秒杀助手","1546947240","软件本体","app","亚美尼亚","am","0","USD","Free","0","0","","2026-09-15","2026-09-16T02:24:34.327570Z","AVAILABLE","EXACT","https://apps.apple.com/am/app/floating-clock/id1546947240","true","PRICE","App ID","APP","","","","2026-09-16T02:24:04.136007Z","175","175"
"悬浮时钟-抢购秒杀助手","1546947240","软件本体","app","安哥拉","ao","0","USD","Free","0","0","","2026-09-15","2026-09-16T02:24:26.512157Z","AVAILABLE","EXACT","https://apps.apple.com/ao/app/floating-clock/id1546947240","true","PRICE","App ID","APP","","","","2026-09-16T02:24:04.136007Z","175","175"
"悬浮时钟-抢购秒杀助手","1546947240","软件本体","app","阿根廷","ar","0","USD","Free","0","0","","2026-09-15","2026-09-16T02:24:39.715681Z","AVAILABLE","EXACT","https://apps.apple.com/ar/app/reloj-flotante/id1546947240","true","PRICE","App ID","APP","","","","2026-09-16T02:24:04.136007Z","175","175"
"悬浮时钟-抢购秒杀助手","1546947240","软件本体","app","奥地利","at","0","EUR","Free","0","0","","2026-09-15","2026-09-16T02:24:32.037966Z","AVAILABLE","EXACT","https://apps.apple.com/at/app/schwebende-uhr/id1546947240","true","PRICE","App ID","APP","","","","2026-09-16T02:24:04.136007Z","175","175"
"悬浮时钟-抢购秒杀助手","1546947240","软件本体","app","澳大利亚","au","0","AUD","Free","0","0","","2026-09-15","2026-09-16T02:24:19.592919Z","AVAILABLE","EXACT","https://apps.apple.com/au/app/floating-clock/id1546947240","true","PRICE","App ID","APP","","","","2026-09-16T02:24:04.136007Z","175","175"
